FIN_YEAR,Year,MONTH,Date,QUARTER,STATE,FG,DISTRICT,RAINFALL,COMPANY,VALUE
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Maharajganj,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Gorakhpur,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Deoria,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Azamgarh,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Mau,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Ballia,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Jaunpur,5.65,ABC Manufacturing,0
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Bactericides,Faridabad,72.3,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Uttarakhand,Bactericides,Uttar Kashi,0,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Uttarakhand,Bactericides,Chamoli,0,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Uttarakhand,Bactericides,Rudra Prayag,0,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Uttarakhand,Bactericides,Tehri Garhwal,0,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Uttarakhand,Bactericides,Dehradun,0,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Uttarakhand,Bactericides,Pauri Garhwal,0,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Uttarakhand,Bactericides,Pithoragarh,0,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Uttarakhand,Bactericides,Bageshwar,0,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Uttarakhand,Bactericides,Champawat,0,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Uttarakhand,Bactericides,Nainital,0,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Uttarakhand,Bactericides,Udam Singh Nagar,0,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Uttarakhand,Bactericides,Haridwar,0,ABC Manufacturing,0
2014-2015,2014,Dec,1-Dec-2014,Q3,Uttarakhand,Bactericides,Uttar Kashi,44.3,ABC Manufacturing,0
2014-2015,2014,Dec,1-Dec-2014,Q3,Uttarakhand,Bactericides,Chamoli,44.3,ABC Manufacturing,0
